created_at,entry_id,field1,field2,field3,field4
2022-01-23 02:31:52 UTC,3334,206,209,1.06,"0.97



"
2022-01-23 02:32:08 UTC,3335,194,195,0.98,"0.89



"
2022-01-23 02:32:24 UTC,3336,183,197,0.99,"0.83



"
2022-01-23 02:32:39 UTC,3337,234,240,1.14,"1.03



"
2022-01-23 02:32:58 UTC,3338,216,219,1.05,"0.96



"
2022-01-23 02:33:13 UTC,3339,229,229,1.05,"0.93



"
2022-01-23 02:33:29 UTC,3340,231,238,1.07,"0.96



"
2022-01-23 02:33:47 UTC,3341,232,238,1.1,"0.98



"
2022-01-23 02:34:03 UTC,3342,233,238,1.08,"0.99



"
2022-01-23 02:34:19 UTC,3343,221,237,1.06,"0.95



"
2022-01-23 02:34:35 UTC,3344,197,189,0.97,"0.85



"
2022-01-23 02:34:51 UTC,3345,184,187,0.93,"0.84



"
2022-01-23 02:35:07 UTC,3346,237,238,1.08,"1.00



"
2022-01-23 02:35:26 UTC,3347,238,242,1.09,"1.00



"
2022-01-23 02:35:41 UTC,3348,232,237,1.06,"0.95



"
2022-01-23 02:35:56 UTC,3349,231,237,1.07,"0.95



"
2022-01-23 02:36:12 UTC,3350,253,243,1.14,"1.03



"
2022-01-23 02:36:28 UTC,3351,231,229,1.07,"0.98



"
2022-01-23 02:36:43 UTC,3352,232,221,1.05,"0.97



"
2022-01-23 02:36:59 UTC,3353,232,231,1.07,"0.97



"
2022-01-23 02:37:15 UTC,3354,232,219,1.05,"0.95



"
2022-01-23 02:37:33 UTC,3355,235,218,1.08,"0.98



"
2022-01-23 02:37:51 UTC,3356,232,216,1.08,"0.96



"
2022-01-23 02:38:09 UTC,3357,233,217,1.07,"0.94



"
2022-01-23 02:38:24 UTC,3358,232,219,1.07,"0.96



"
2022-01-23 02:38:39 UTC,3359,234,212,1.07,"0.97



"
2022-01-23 02:38:54 UTC,3360,235,217,1.08,"0.97



"
2022-01-23 02:39:10 UTC,3361,232,221,1.07,"0.97



"
2022-01-23 02:39:25 UTC,3362,255,239,1.13,"1.03



"
2022-01-23 02:39:40 UTC,3363,232,227,1.08,"0.95



"
2022-01-23 02:39:55 UTC,3364,238,220,1.07,"0.97



"
2022-01-23 02:40:10 UTC,3365,234,219,1.08,"0.98



"
2022-01-23 02:40:26 UTC,3366,237,214,1.07,"0.96



"
2022-01-23 02:40:41 UTC,3367,232,227,1.08,"0.97



"
2022-01-23 02:40:56 UTC,3368,238,236,1.09,"1.00



"
2022-01-23 02:41:11 UTC,3369,239,233,1.11,"0.99



"
2022-01-23 02:41:27 UTC,3370,232,233,1.08,"0.97



"
2022-01-23 02:41:42 UTC,3371,245,232,1.1,"1.01



"
2022-01-23 02:41:57 UTC,3372,249,238,1.1,"1.00



"
2022-01-23 02:42:13 UTC,3373,264,263,1.17,"1.08



"
2022-01-23 02:42:28 UTC,3374,262,260,1.17,"1.05



"
2022-01-23 02:42:44 UTC,3375,200,175,0.95,"0.86



"
2022-01-23 02:42:59 UTC,3376,218,211,1.04,"0.96



"
2022-01-23 02:43:15 UTC,3377,200,193,0.99,"0.87



"
2022-01-23 02:43:30 UTC,3378,195,183,0.95,"0.87



"
2022-01-23 02:43:46 UTC,3379,211,194,1.07,"0.90



"
2022-01-23 02:44:01 UTC,3380,193,190,0.98,"0.78



"
2022-01-23 02:44:17 UTC,3381,207,203,1.06,"0.93



"
2022-01-23 02:44:32 UTC,3382,197,184,0.98,"0.87



"
2022-01-23 02:44:48 UTC,3383,197,191,0.97,"0.89



"
2022-01-23 02:45:03 UTC,3384,208,205,1.02,"0.93



"
2022-01-23 02:45:18 UTC,3385,226,215,1.07,"0.94



"
2022-01-23 02:45:33 UTC,3386,227,209,1.07,"0.96



"
2022-01-23 02:45:49 UTC,3387,223,210,1.06,"0.96



"
2022-01-23 02:46:04 UTC,3388,223,210,1.07,"0.97



"
2022-01-23 02:46:20 UTC,3389,221,212,1.08,"0.98



"
2022-01-23 02:46:35 UTC,3390,223,232,1.07,"0.99



"
2022-01-23 02:46:53 UTC,3391,230,221,1.07,"0.98



"
2022-01-23 02:47:08 UTC,3392,230,233,1.07,"0.97



"
2022-01-23 02:47:27 UTC,3393,230,236,1.08,"0.98



"
2022-01-23 02:47:42 UTC,3394,232,238,1.1,"1.02



"
2022-01-23 02:48:01 UTC,3395,286,286,1.32,"1.24



"
2022-01-23 02:48:21 UTC,3396,1105,1074,0.87,"0.76



"
2022-01-23 02:48:41 UTC,3397,909,921,0.9,"0.80



"
2022-01-23 02:48:56 UTC,3398,867,878,0.91,"0.83



"
2022-01-23 02:49:12 UTC,3399,875,718,0.9,"0.80



"
2022-01-23 02:49:27 UTC,3400,1035,987,0.85,"0.76



"
2022-01-23 02:49:47 UTC,3401,871,722,0.92,"0.83



"
2022-01-23 02:50:02 UTC,3402,1002,947,0.89,"0.81



"
2022-01-23 02:50:18 UTC,3403,1003,953,0.92,"0.80



"
2022-01-23 02:50:33 UTC,3404,993,940,0.89,"0.78



"
2022-01-23 02:50:53 UTC,3405,997,923,0.88,"0.79



"
2022-01-23 02:51:13 UTC,3406,976,946,0.9,"0.79



"
2022-01-23 02:51:28 UTC,3407,966,910,0.86,"0.80



"
2022-01-23 02:51:43 UTC,3408,717,675,0.87,"0.79



"
2022-01-23 02:52:00 UTC,3409,616,565,1.44,"1.27



"
2022-01-23 02:52:16 UTC,3410,878,974,0.89,"0.81



"
2022-01-23 02:52:31 UTC,3411,805,655,0.84,"0.67



"
2022-01-23 02:52:50 UTC,3412,718,723,0.91,"0.80



"
2022-01-23 02:53:10 UTC,3413,642,683,0.89,"0.80



"
2022-01-23 02:53:26 UTC,3414,660,585,1.5,"1.36



"
2022-01-23 02:53:45 UTC,3415,1039,849,0.67,"0.61



"
2022-01-23 02:54:00 UTC,3416,922,901,0.89,"0.81



"
2022-01-23 02:54:16 UTC,3417,946,773,0.9,"0.83



"
2022-01-23 02:54:31 UTC,3418,947,730,0.91,"0.81



"
2022-01-23 02:54:46 UTC,3419,985,1070,0.85,"0.78



"
2022-01-23 02:55:01 UTC,3420,999,1107,0.88,"0.80



"
2022-01-23 02:55:22 UTC,3421,982,1074,0.83,"0.77



"
2022-01-23 02:55:37 UTC,3422,1000,1093,0.88,"0.82



"
2022-01-23 02:55:52 UTC,3423,991,1085,0.9,"0.79



"
2022-01-23 02:56:07 UTC,3424,994,1080,0.89,"0.79



"
2022-01-23 02:56:23 UTC,3425,984,1069,0.89,"0.80



"
2022-01-23 02:56:38 UTC,3426,967,1063,0.87,"0.79



"
2022-01-23 02:56:53 UTC,3427,968,1055,0.89,"0.81



"
2022-01-23 02:57:11 UTC,3428,923,1024,0.85,"0.76



"
2022-01-23 02:57:31 UTC,3429,913,1006,0.84,"0.77



"
2022-01-23 02:57:52 UTC,3430,751,836,0.88,"0.79



"
2022-01-23 02:58:16 UTC,3431,742,654,1.04,"0.89



"
2022-01-23 02:58:35 UTC,3432,750,821,0.87,"0.77



"
2022-01-23 02:58:52 UTC,3433,648,643,1.26,"1.18



"
